timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1679206171.129208,4,10.0.0.11010.0.0.601,10.0.0.11,0,10.0.0.6,0,1,0,0,5,28000000,20,100,0,4,392,0.8,1.4285714285714285e-07,78.4,1.4e-05,0
1679206171.129208,4,10.0.0.6010.0.0.1101,10.0.0.6,0,10.0.0.11,0,1,0,8,5,32000000,20,100,0,4,392,0.8,1.25e-07,78.4,1.225e-05,0
1679206171.131982,2,10.0.0.1505010.0.0.6585906,10.0.0.1,5050,10.0.0.6,58590,6,-1,-1,5,57000000,20,100,0,123106,8125380,24621.2,0.002159754385964912,1625076.0,0.14255052631578946,0
1679206171.131982,2,10.0.0.11505010.0.0.6585901,10.0.0.11,5050,10.0.0.6,58590,1,0,0,5,23000000,20,100,0,4,392,0.8,1.7391304347826088e-07,78.4,1.7043478260869566e-05,0
1679206171.131982,2,10.0.0.65859010.0.0.150506,10.0.0.6,58590,10.0.0.1,5050,6,0,0,5,62000000,20,100,0,557949,32038437970,111589.8,0.008999177419354838,6407687594.0,516.7489995161291,0
1679206171.131982,2,10.0.0.65859010.0.0.1150501,10.0.0.6,58590,10.0.0.11,5050,1,0,8,5,59000000,20,100,0,4,392,0.8,6.779661016949153e-08,78.4,6.64406779661017e-06,0
1679206171.132249,1,10.0.0.1505010.0.0.6585906,10.0.0.1,5050,10.0.0.6,58590,6,-1,-1,5,58000000,20,100,0,122746,8101620,24549.2,0.0021163103448275863,1620324.0,0.13968310344827586,0
1679206171.132249,1,10.0.0.65859010.0.0.150506,10.0.0.6,58590,10.0.0.1,5050,6,-1,-1,5,60000000,20,100,0,557990,32038440676,111598.0,0.009299833333333334,6407688135.2,533.9740112666667,0
1679206171.132359,3,10.0.0.11010.0.0.601,10.0.0.11,0,10.0.0.6,0,1,0,0,5,26000000,20,100,0,4,392,0.8,1.5384615384615385e-07,78.4,1.5076923076923078e-05,0
1679206171.132359,3,10.0.0.6010.0.0.1101,10.0.0.6,0,10.0.0.11,0,1,0,8,5,57000000,20,100,0,4,392,0.8,7.017543859649123e-08,78.4,6.87719298245614e-06,0
1679206181.131142,3,10.0.0.11010.0.0.601,10.0.0.11,0,10.0.0.6,0,1,0,0,15,28000000,20,100,0,14,1372,0.9333333333333333,5e-07,91.46666666666667,4.9e-05,0
1679206181.131142,3,10.0.0.6010.0.0.1101,10.0.0.6,0,10.0.0.11,0,1,0,8,15,59000000,20,100,0,14,1372,0.9333333333333333,2.3728813559322033e-07,91.46666666666667,2.3254237288135594e-05,0
1679206181.131262,4,10.0.0.11010.0.0.601,10.0.0.11,0,10.0.0.6,0,1,0,0,15,30000000,20,100,0,14,1372,0.9333333333333333,4.6666666666666666e-07,91.46666666666667,4.573333333333333e-05,0
1679206181.131262,4,10.0.0.6010.0.0.1101,10.0.0.6,0,10.0.0.11,0,1,0,8,15,34000000,20,100,0,14,1372,0.9333333333333333,4.1176470588235295e-07,91.46666666666667,4.035294117647059e-05,0
1679206181.132038,2,10.0.0.1505010.0.0.6585906,10.0.0.1,5050,10.0.0.6,58590,6,-1,-1,15,59000000,20,100,0,238473,15739602,15898.2,0.004041915254237288,1049306.8,0.2667729152542373,0
1679206181.132038,2,10.0.0.11505010.0.0.6585901,10.0.0.11,5050,10.0.0.6,58590,1,0,0,15,25000000,20,100,0,14,1372,0.9333333333333333,5.6e-07,91.46666666666667,5.488e-05,0
1679206181.132038,2,10.0.0.65859010.0.0.150506,10.0.0.6,58590,10.0.0.1,5050,6,0,0,15,64000000,20,100,0,1101492,63310896984,73432.8,0.0172108125,4220726465.6,989.232765375,0
1679206181.132038,2,10.0.0.63418410.0.0.1505117,10.0.0.6,34184,10.0.0.1,5051,17,0,0,5,14000000,20,100,0,432,653184,86.4,3.0857142857142856e-05,130636.8,0.046656,0
1679206181.132038,2,10.0.0.63418410.0.0.1150511,10.0.0.6,34184,10.0.0.11,5051,1,0,8,15,61000000,20,100,0,14,1372,0.9333333333333333,2.2950819672131146e-07,91.46666666666667,2.2491803278688526e-05,0
1679206181.132149,1,10.0.0.1505010.0.0.6585906,10.0.0.1,5050,10.0.0.6,58590,6,-1,-1,15,60000000,20,100,0,238113,15715842,15874.2,0.00396855,1047722.8,0.2619307,0
1679206181.132149,1,10.0.0.65859010.0.0.150506,10.0.0.6,58590,10.0.0.1,5050,6,-1,-1,15,62000000,20,100,0,1101533,63310899690,73435.53333333334,0.01776666129032258,4220726646.0,1021.1435433870968,0
1679206181.132149,1,10.0.0.63418410.0.0.1505117,10.0.0.6,34184,10.0.0.1,5051,17,-1,-1,5,13000000,20,100,0,432,653184,86.4,3.323076923076923e-05,130636.8,0.050244923076923076,0
1679206191.133703,3,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,-1,-1,4,609000000,20,100,0,98461,6498426,24615.25,0.00016167651888341543,1624606.5,0.010670650246305419,0
1679206191.133703,3,10.0.0.11505010.0.0.6556601,10.0.0.11,5050,10.0.0.6,55660,1,0,0,25,30000000,20,100,0,24,2352,0.96,8e-07,94.08,7.84e-05,0
1679206191.133703,3,10.0.0.6505010.0.0.11556601,10.0.0.6,5050,10.0.0.11,55660,1,0,8,25,61000000,20,100,0,24,2352,0.96,3.9344262295081967e-07,94.08,3.855737704918033e-05,0
1679206191.133703,3,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,0,8,4,612000000,20,100,0,439524,25144238168,109881.0,0.0007181764705882353,6286059542.0,41.08535648366013,0
1679206191.13519,4,10.0.0.11010.0.0.601,10.0.0.11,0,10.0.0.6,0,1,0,0,25,32000000,20,100,0,24,2352,0.96,7.5e-07,94.08,7.35e-05,0
1679206191.13519,4,10.0.0.6010.0.0.1101,10.0.0.6,0,10.0.0.11,0,1,0,8,25,36000000,20,100,0,24,2352,0.96,6.666666666666667e-07,94.08,6.533333333333333e-05,0
1679206191.13781,2,10.0.0.1505010.0.0.6585906,10.0.0.1,5050,10.0.0.6,58590,6,-1,-1,25,61000000,20,100,0,238473,15739602,9538.92,0.003909393442622951,629584.08,0.25802626229508197,0
1679206191.13781,2,10.0.0.18010.0.0.6362146,10.0.0.1,80,10.0.0.6,36214,6,-1,-1,4,959000000,20,100,0,11,1046,2.75,1.1470281543274245e-08,261.5,1.0907194994786235e-06,0
1679206191.13781,2,10.0.0.18010.0.0.6362166,10.0.0.1,80,10.0.0.6,36216,6,-1,-1,4,942000000,20,100,0,7277,60690932,1819.25,7.725053078556263e-06,15172733.0,0.06442774097664543,0
1679206191.13781,2,10.0.0.1505110.0.0.63418417,10.0.0.1,5051,10.0.0.6,34184,17,-1,-1,4,985000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1679206191.13781,2,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,-1,-1,4,610000000,20,100,0,98461,6498426,24615.25,0.00016141147540983607,1624606.5,0.01065315737704918,0
1679206191.13781,2,10.0.0.11505010.0.0.6556601,10.0.0.11,5050,10.0.0.6,55660,1,0,0,25,27000000,20,100,0,24,2352,0.96,8.888888888888889e-07,94.08,8.711111111111112e-05,0
1679206191.13781,2,10.0.0.63621610.0.0.1806,10.0.0.6,36216,10.0.0.1,80,6,0,0,4,947000000,20,100,0,1408,93042,352.0,1.4868004223864837e-06,23260.5,9.82492080253432e-05,0
1679206191.13781,2,10.0.0.65859010.0.0.150506,10.0.0.6,58590,10.0.0.1,5050,6,0,0,25,66000000,20,100,0,1101492,63310896984,44059.68,0.016689272727272726,2532435879.36,959.2560149090909,0
1679206191.13781,2,10.0.0.63621410.0.0.1806,10.0.0.6,36214,10.0.0.1,80,6,0,0,4,965000000,20,100,0,11,842,2.75,1.1398963730569949e-08,210.5,8.725388601036269e-07,0
1679206191.13781,2,10.0.0.63418410.0.0.1505117,10.0.0.6,34184,10.0.0.1,5051,17,0,0,15,16000000,20,100,0,893,1350216,59.53333333333333,5.58125e-05,90014.4,0.0843885,0
1679206191.13781,2,10.0.0.63418410.0.0.1150511,10.0.0.6,34184,10.0.0.11,5051,1,0,8,25,63000000,20,100,0,24,2352,0.96,3.8095238095238096e-07,94.08,3.733333333333333e-05,0
1679206191.13781,2,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,0,8,4,612000000,20,100,0,439524,25144238168,109881.0,0.0007181764705882353,6286059542.0,41.08535648366013,0
1679206191.138227,1,10.0.0.1505010.0.0.6585906,10.0.0.1,5050,10.0.0.6,58590,6,-1,-1,25,62000000,20,100,0,238113,15715842,9524.52,0.003840532258064516,628633.68,0.25348132258064515,0
1679206191.138227,1,10.0.0.18010.0.0.6362146,10.0.0.1,80,10.0.0.6,36214,6,-1,-1,4,960000000,20,100,0,11,1046,2.75,1.1458333333333333e-08,261.5,1.0895833333333334e-06,0
1679206191.138227,1,10.0.0.18010.0.0.6362166,10.0.0.1,80,10.0.0.6,36216,6,-1,-1,4,944000000,20,100,0,7277,60690932,1819.25,7.708686440677966e-06,15172733.0,0.06429124152542373,0
1679206191.138227,1,10.0.0.1505110.0.0.63418417,10.0.0.1,5051,10.0.0.6,34184,17,-1,-1,4,986000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
